House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
9,Bailey Estate,Natasha,Simmons,50,Head,Single,Female,"Designer, blown glass/stained glass",None,Triangulism
9,Bailey Estate,Kim,Simmons,18,Daughter,Divorced,Female,Student,None,Triangulism
9,Bailey Estate,Gillian,Simmons,14,Daughter,NA,Female,Student,None,NA
10,Bailey Estate,Jean,Bowen,45,Head,Single,Female,Charity fundraiser,None,None
10,Bailey Estate,Kieran,Bowen,17,Son,NA,Male,Student,None,NA
10,Bailey Estate,Dennis,Cross-Bowen,15,Son,NA,Male,Student,None,NA
10,Bailey Estate,Joanna,Cross-Bowen,14,Daughter,NA,Female,Student,None,NA
11,Bailey Estate,Rebecca,Shaw,45,Head,Widowed,Female,Unemployed,None,None
11,Bailey Estate,Rhys,Shaw,10,Son,NA,Male,Student,None,NA
11,Bailey Estate,Arthur,Miles,10,Son,NA,Male,Student,None,NA
11,Bailey Estate,Nathan,Miles,7,Son,NA,Male,Student,None,NA
12,Bailey Estate,Melissa,Brookes,34,Head,Married,Female,Sports development officer,None,None
12,Bailey Estate,Gordon,Brookes,36,Husband,Married,Male,"Scientist, research (maths)",None,None
13,Bailey Estate,Diane,Lucas,31,Head,Married,Female,"Designer, industrial/product",None,Utheism
13,Bailey Estate,Gordon,Lucas,26,Husband,Married,Male,Lobbyist,None,Utheism
14,Bailey Estate,Hayley,Nash,60,Head,Married,Female,"Engineer, maintenance (IT)",None,None
14,Bailey Estate,Dennis,Nash,58,Husband,Married,Male,Gaffer,None,None
14,Bailey Estate,Hayley,Nash,26,Daughter,Single,Female,Investment analyst,None,None
14,Bailey Estate,Valerie,Nash,24,Daughter,Single,Female,Unemployed,None,None
14,Bailey Estate,Sam,Nash,14,Son,NA,Male,Student,None,NA
15,Bailey Estate,Carl,Mahmood,74,Head,Divorced,Male,Retired Chartered public finance accountant,None,Intramystical
16,Bailey Estate,John,Wright,43,Head,Married,Male,Materials engineer,None,None
16,Bailey Estate,Rachael,Wright,43,Wife,Married,Female,"Sound technician, broadcasting/film/video",None,None
17,Bailey Estate,Vanessa,Read,31,Head,Married,Female,Best boy,None,Intramystical
17,Bailey Estate,Aaron,Read,29,Husband,Married,Male,Web designer,None,Intramystical
17,Bailey Estate,Linda,Read,14,Daughter,NA,Female,Student,None,NA
18,Bailey Estate,Deborah,Wright,27,Head,Married,Female,Plant breeder/geneticist,None,None
18,Bailey Estate,Vincent,Wright,34,Husband,Married,Male,Environmental consultant,None,None
19,Bailey Estate,Abdul,Gray,57,Head,Divorced,Male,"Scientist, physiological",None,None
20,Bailey Estate,Kayleigh,Jackson,21,Head,Married,Female,University Student,None,None
20,Bailey Estate,David,Jackson,23,Husband,Married,Male,Nature conservation officer,None,None
20,Bailey Estate,Yvonne,Wilson,46,Sibling,Single,Female,Web designer,None,
20,Bailey Estate,Diana,Norris,61,Lodger,Single,Female,Trade mark attorney,None,None
20,Bailey Estate,Brandon,Cox,56,Lodger,Single,Male,Sport and exercise psychologist,None,Intramystical
21,Bailey Estate,Joanne,Walker,43,Head,Married,Female,"Conservator, museum/gallery",None,Triangulism
21,Bailey Estate,Andrew,Walker,44,Husband,Married,Male,Database administrator,None,Triangulism
21,Bailey Estate,Guy,Walker,13,Son,NA,Male,Student,None,NA
21,Bailey Estate,Michael,Walker,11,Son,NA,Male,Student,None,NA
21,Bailey Estate,Marian,Walker,11,Daughter,NA,Female,Student,None,NA
22,Bailey Estate,Lauren,Fry,50,Head,Married,Female,Ship broker,None,None
22,Bailey Estate,Liam,Fry,53,Husband,Married,Male,Amenity horticulturist,None,None
22,Bailey Estate,Katy,Fry,56,Cousin,Single,Female,Occupational psychologist,None,None
22,Bailey Estate,Glenn,Fry,68,Cousin,Widowed,Male,Retired Call centre manager,None,None
23,Bailey Estate,Catherine,Butler,62,Head,Single,Female,Artist,None,Intramystical
23,Bailey Estate,Chelsea,Butler,30,Daughter,Single,Female,IT consultant,None,Intramystical
24,Bailey Estate,Grace,Glover,24,Head,Married,Female,Oceanographer,None,None
24,Bailey Estate,Frank,Glover,29,Husband,Married,Male,Quarry manager,None,None
24,Bailey Estate,Ronald,Glover,4,Son,NA,Male,Child,None,NA
24,Bailey Estate,Mohammad,Brennan-Glover,1,Son,NA,Male,Child,None,NA
24,Bailey Estate,Ross,Brennan-Glover,0,Son,NA,Male,Child,None,NA
25,Bailey Estate,Neil,Bailey,70,Head,Married,Male,Retired Legal executive,None,None
25,Bailey Estate,Clare,Bailey,68,Wife,Married,Female,Retired Chartered certified accountant,None,None
26,Bailey Estate,Patricia,Fitzgerald,30,Head,Single,Female,Unemployed,None,Triangulism
26,Bailey Estate,William,Fitzgerald,12,Son,NA,Male,Student,None,NA
26,Bailey Estate,Donald,Fitzgerald,12,Son,NA,Male,Student,None,NA
26,Bailey Estate,Adrian,Fitzgerald,8,Son,NA,Male,Student,None,NA
26,Bailey Estate,Elaine,Fitzgerald,6,Daughter,NA,Female,Student,None,NA
27,Bailey Estate,Joshua,Bond,28,Head,Divorced,Male,"Accountant, chartered certified",None,None
28,Bailey Estate,Brenda,Robinson,75,Head,Married,Female,"Retired Administrator, Civil Service",None,Intramystical
28,Bailey Estate,Martin,Robinson,75,Husband,Married,Male,Unemployed,None,None
29,Bailey Estate,Louise,Palmer,42,Head,Divorced,Female,"Designer, textile",None,
30,Bailey Estate,Malcolm,Reed,58,Head,Married,Male,Archaeologist,None,Intramystical
30,Bailey Estate,Georgina,Reed,54,Wife,Married,Female,Unemployed,None,Intramystical
31,Bailey Estate,Roger,Gallagher,59,Head,Married,Male,Planning and development surveyor,None,None
31,Bailey Estate,Lesley,Gallagher,57,Wife,Married,Female,Equities trader,None,None
32,Bailey Estate,Lindsey,Harrison,50,Head,Divorced,Female,Unemployed,None,Triangulism
32,Bailey Estate,Leanne,Harrison,6,Daughter,NA,Female,Student,None,NA
33,Bailey Estate,Alison,Lyons,32,Head,Single,Female,Unemployed,None,Intramystical
33,Bailey Estate,Timothy,Lyons,13,Son,NA,Male,Student,None,NA
34,Bailey Estate,Leonard,Bray,58,Head,Divorced,Male,"Physicist, medical",None,Utheism
35,Bailey Estate,John,Cunningham,65,Head,Married,Male,Arts administrator,None,Intramystical
35,Bailey Estate,Katy,Cunningham,65,Wife,Married,Female,Aeronautical engineer,None,Intramystical
1,Gregory Avenue,Barbara,Nicholson,70,Head,Widowed,Female,Retired Public affairs consultant,None,None
2,Gregory Avenue,Kim,Brown,33,Head,Divorced,Female,Unemployed,None,Intramystical
2,Gregory Avenue,Robert,Brown,13,Son,NA,Male,Student,None,NA
3,Gregory Avenue,Jade,Ellis,54,Head,Single,Female,"Engineer, maintenance (IT)",None,None
3,Gregory Avenue,Howard,Clark,58,Partner,Single,Male,Dancer,None,None
4,Gregory Avenue,Carole,Higgins,53,Head,Married,Female,Unemployed,None,Intramystical
4,Gregory Avenue,Abdul,Higgins,54,Husband,Married,Male,Town planner,None,Intramystical
4,Gregory Avenue,Carol,Higgins,25,Daughter,Single,Female,Television floor manager,None,Intramystical
4,Gregory Avenue,Garry,Higgins,21,Son,Single,Male,University Student,None,None
4,Gregory Avenue,Tracy,Higgins,15,Daughter,NA,Female,Student,None,NA
5,Gregory Avenue,Grace,Smith,68,Head,Single,Female,Retired Heritage manager,None,Utheism
5,Gregory Avenue,Sean,Smith,18,Grandson,Single,Male,Student,None,Utheism
5,Gregory Avenue,Cameron,Johnston,18,Grandson,Divorced,Male,Student,None,None
6,Gregory Avenue,Carl,Barrett,41,Head,Single,Male,Unemployed,None,None
6,Gregory Avenue,Bethan,Barrett,16,Daughter,NA,Female,Student,None,NA
6,Gregory Avenue,Darren,Barrett,12,Son,NA,Male,Student,None,NA
6,Gregory Avenue,Albert,Barrett,8,Son,NA,Male,Student,None,NA
6,Gregory Avenue,Irene,Barrett,6,Daughter,NA,Female,Student,None,NA
7,Gregory Avenue,Lauren,Barnes,39,Head,Divorced,Female,Unemployed,Nudisease,
7,Gregory Avenue,Tom,Barnes,10,Son,NA,Male,Student,None,NA
7,Gregory Avenue,David,Barnes,6,Son,NA,Male,Student,None,NA
8,Gregory Avenue,Alexander,Gardner,46,Head,Single,Male,Hydrologist,None,Triangulism
8,Gregory Avenue,Donald,Gardner,14,Son,NA,Male,Student,None,NA
9,Gregory Avenue,Vincent,Morrison,40,Head,Single,Male,Unemployed,None,Triangulism
9,Gregory Avenue,Raymond,Morrison,7,Son,NA,Male,Student,None,NA
9,Gregory Avenue,Toby,Morrison,7,Son,NA,Male,Student,None,NA
9,Gregory Avenue,Melissa,Thorpe,3,Daughter,NA,Female,Child,None,NA
10,Gregory Avenue,Sean,Cunningham,65,Head,Widowed,Male,Professor Emeritus,None,Intramystical
10,Gregory Avenue,Conor,Hutchinson-Cunningham,20,Grandson,Single,Male,University Student,None,Intramystical
10,Gregory Avenue,Claire,Hutchinson-Cunningham,20,Granddaughter,Single,Female,University Student,None,Intramystical
11,Gregory Avenue,Sally,Taylor,40,Head,Married,Female,Stage manager,None,None
11,Gregory Avenue,Jay,Taylor,42,Husband,Married,Male,Animal technologist,None,None
11,Gregory Avenue,Georgina,Taylor,8,Daughter,NA,Female,Student,None,NA
11,Gregory Avenue,Christine,Chadwick-Taylor,5,Daughter,NA,Female,Student,None,NA
11,Gregory Avenue,Kyle,Chadwick-Taylor,2,Son,NA,Male,Child,None,NA
12,Gregory Avenue,Roy,Yates,45,Head,Married,Male,Media planner,None,Triangulism
12,Gregory Avenue,Ellie,Yates,42,Wife,Married,Female,Hotel manager,None,Triangulism
13,Gregory Avenue,Kate,Rowe,24,Head,Single,Female,"Secretary, company",None,Triangulism
13,Gregory Avenue,Eileen,Roberts,46,None,Single,Female,Theme park manager,None,None
13,Gregory Avenue,Olivia,Webb,58,None,Single,Female,Fisheries officer,None,Intramystical
13,Gregory Avenue,Mohammed,Smith,56,None,Single,Male,Sports administrator,None,Intramystical
13,Gregory Avenue,Rhys,Taylor,60,None,Single,Male,"Geologist, wellsite",None,Intramystical
14,Gregory Avenue,Charlie,Shaw,35,Head,Married,Male,"Education officer, museum",None,Triangulism
14,Gregory Avenue,Chelsea,Shaw,30,Wife,Married,Female,Unemployed,None,Triangulism
15,Gregory Avenue,Brandon,Walsh,84,Head,Widowed,Male,"Retired Lecturer, higher education",None,Intramystical
16,Gregory Avenue,Lynda,Singh,56,Head,Married,Female,IT trainer,None,Intramystical
16,Gregory Avenue,Edward,Singh,56,Husband,Married,Male,"Engineer, agricultural",None,Intramystical
16,Gregory Avenue,Dylan,Singh,16,Son,NA,Male,Student,None,NA
16,Gregory Avenue,Dawn,Singh,13,Daughter,NA,Female,Student,None,NA
16,Gregory Avenue,Julie,Singh,13,Daughter,NA,Female,Student,None,NA
17,Gregory Avenue,Marie,Holloway,57,Head,Widowed,Female,Aeronautical engineer,None,Utheism
17,Gregory Avenue,Toby,Holloway,24,Son,Single,Male,Associate Professor,None,Utheism
17,Gregory Avenue,Marie,Holloway,21,Daughter,Divorced,Female,University Student,None,None
17,Gregory Avenue,Harry,Holloway,20,Son,Divorced,Male,University Student,None,Utheism
18,Gregory Avenue,Victoria,Williamson,34,Head,Married,Female,Unemployed,None,None
18,Gregory Avenue,Keith,Williamson,39,Husband,Married,Male,"Surveyor, building control",None,None
19,Gregory Avenue,Tina,Gregory,69,Head,Widowed,Female,Unemployed,None,Intramystical
19,Gregory Avenue,Bethan,Gregory,34,Daughter,Divorced,Female,"Surveyor, planning and development",None,None
19,Gregory Avenue,Joanna,Brooks-Gregory,30,Daughter,Single,Female,Editorial assistant,None,Intramystical
20,Gregory Avenue,Yvonne,Rose,41,Head,Married,Female,Estate agent,None,Intramystical
20,Gregory Avenue,Joel,Rose,53,Husband,Married,Male,Games developer,None,Intramystical
20,Gregory Avenue,Joan,Rose,11,Daughter,NA,Female,Student,None,NA
20,Gregory Avenue,Amber,Rose,8,Daughter,NA,Female,Student,None,NA
21,Gregory Avenue,Clifford,Wilson,67,Head,Divorced,Male,"Engineer, mining",None,Intramystical
22,Gregory Avenue,Eric,Edwards,66,Head,Married,Male,"Engineer, maintenance",None,Intramystical
22,Gregory Avenue,Shannon,Edwards,68,Wife,Married,Female,Unemployed,None,None
23,Gregory Avenue,Henry,Cunningham,83,Head,Widowed,Male,Retired Psychiatric nurse,None,None
24,Gregory Avenue,Margaret,Swift,31,Head,Married,Female,Stage manager,None,None
24,Gregory Avenue,Adam,Swift,28,Husband,Married,Male,Phytotherapist,None,None
24,Gregory Avenue,Albert,Swift,1,Son,NA,Male,Child,None,NA
24,Gregory Avenue,Leon,Robertson,56,Lodger,Divorced,Male,Technical author,Nudisease,Intramystical
25,Gregory Avenue,Barbara,Lewis,35,Head,Single,Female,Fitness centre manager,None,Triangulism
25,Gregory Avenue,Harry,Curtis,40,Partner,Single,Male,Veterinary surgeon,None,Triangulism
26,Gregory Avenue,Sally,Fowler,40,Head,Married,Female,Museum/gallery curator,None,None
26,Gregory Avenue,Nicholas,Fowler,41,Husband,Married,Male,"Journalist, broadcasting",None,None
26,Gregory Avenue,Lynn,Fowler,10,Daughter,NA,Female,Student,None,NA
26,Gregory Avenue,Hazel,Fowler,1,Daughter,NA,Female,Child,None,NA
26,Gregory Avenue,Lydia,Houghton,38,Lodger,Single,Female,Television/film/video producer,None,Triangulism
27,Gregory Avenue,Eileen,Smart,28,Head,Married,Female,Multimedia specialist,None,None
27,Gregory Avenue,Vincent,Smart,33,Husband,Married,Male,"Research officer, government",None,None
28,Gregory Avenue,Eileen,Lawrence-Williams,59,Head,Married,Female,"Designer, graphic",None,Intramystical
28,Gregory Avenue,Gary,Lawrence-Williams,60,Husband,Married,Male,Quarry manager,None,Intramystical
28,Gregory Avenue,Mathew,Lawrence-Williams,32,Son,Widowed,Male,Office manager,None,Intramystical
28,Gregory Avenue,Edward,Taylor-Lawrence-Williams,30,Son,Single,Male,Company secretary,None,Intramystical
28,Gregory Avenue,Patricia,Taylor-Lawrence-Williams,28,Daughter,Divorced,Female,Unemployed,None,Intramystical
29,Gregory Avenue,Irene,Bishop,66,Head,Married,Female,Financial controller,None,Intramystical
29,Gregory Avenue,Steven,Bishop,74,Husband,Married,Male,Retired Radio broadcast assistant,None,Intramystical
29,Gregory Avenue,Teresa,Bishop,27,Daughter,Single,Female,Police officer,None,Intramystical
30,Gregory Avenue,Garry,Robinson,21,Head,Single,Male,University Student,None,Triangulism
30,Gregory Avenue,Derek,Fletcher,46,None,Widowed,Male,Press sub,None,None
1,Magpie Lane,Rebecca,Smith,62,Head,Divorced,Female,Unemployed,None,Intramystical
1,Magpie Lane,Suzanne,Jenkins,33,Daughter,Single,Female,Unemployed,None,None
1,Magpie Lane,Oliver,Jenkins,32,Son,Single,Male,Magazine features editor,None,Intramystical
2,Magpie Lane,Georgina,McCarthy,31,Head,Single,Female,Print production planner,None,Triangulism
3,Magpie Lane,Rosemary,Hughes,50,Head,Single,Female,Further education lecturer,None,
3,Magpie Lane,Jacob,Woods,46,Partner,Single,Male,Sports administrator,None,None
4,Magpie Lane,Lynda,Scott,38,Head,Married,Female,Osteopath,None,Intramystical
4,Magpie Lane,Kenneth,Scott,40,Husband,Married,Male,Art therapist,None,Intramystical
4,Magpie Lane,Nigel,Scott,17,Son,NA,Male,Student,None,NA
5,Magpie Lane,Leslie,Miles,69,Head,Widowed,Male,Retired Travel agency manager,None,Intramystical
6,Magpie Lane,Jemma,Moss,64,Head,Divorced,Female,Unemployed,None,Intramystical
6,Magpie Lane,George,Moss,42,Son,Divorced,Male,Ambulance person,None,Intramystical
6,Magpie Lane,Alex,Moss,37,Son,Single,Male,Hospital doctor,None,None
7,Magpie Lane,Sara,Thomas,53,Head,Married,Female,Research scientist (physical sciences),None,Intramystical
7,Magpie Lane,Terence,Thomas,53,Husband,Married,Male,Artist,None,Intramystical
7,Magpie Lane,Barbara,Thomas,21,Daughter,Single,Female,University Student,None,None
7,Magpie Lane,Damian,Thomas,19,Son,Divorced,Male,University Student,None,Intramystical
7,Magpie Lane,Deborah,Thomas,6,Daughter,NA,Female,Student,None,NA
8,Magpie Lane,Hollie,Taylor,52,Head,Married,Female,Energy manager,None,Intramystical
8,Magpie Lane,Gavin,Taylor,53,Husband,Married,Male,Cabin crew,None,Intramystical
8,Magpie Lane,Jacqueline,Taylor,27,Daughter,Single,Female,Systems analyst,None,Intramystical
9,Magpie Lane,Jack,Kerr,73,Head,Married,Male,"Retired Scientist, research (maths)",None,Triangulism
9,Magpie Lane,Kim,Kerr,69,Wife,Married,Female,Retired Dealer,None,Triangulism
10,Magpie Lane,Geoffrey,Wood,59,Head,Single,Male,Optometrist,None,Triangulism
11,Magpie Lane,Anna,Barnes,34,Head,Single,Female,Advertising art director,None,Utheism
11,Magpie Lane,Shaun,McDonald,35,Partner,Single,Male,"Scientist, forensic",None,Utheism
11,Magpie Lane,Stacey,Barnes,5,Daughter,NA,Female,Student,None,NA
12,Magpie Lane,Sarah,Marshall,35,Head,Divorced,Female,Armed forces logistics/support/administrative officer,None,Triangulism
12,Magpie Lane,Terence,Marshall,8,Son,NA,Male,Student,None,NA
12,Magpie Lane,Mandy,Marshall,7,Daughter,NA,Female,Student,None,NA
13,Magpie Lane,Kim,Heath,54,Head,Single,Female,"Therapist, music",Nudisease,None
13,Magpie Lane,Elliot,Wilson,55,Partner,Single,Male,Energy manager,None,None
14,Magpie Lane,Carol,Reynolds,35,Head,Single,Female,Unemployed,None,None
14,Magpie Lane,Brett,Reynolds,2,Son,NA,Male,Child,None,NA
14,Magpie Lane,Russell,Allen,21,Sibling,Widowed,Male,University Student,None,None
14,Magpie Lane,Denis,Owen,51,Lodger,Divorced,Male,Sales promotion account executive,None,None
1,Northbird Avenue,Irene,Yates,23,Head,Married,Female,"Designer, multimedia",None,None
1,Northbird Avenue,William,Yates,25,Husband,Married,Male,Clinical psychologist,Nudisease,None
2,Northbird Avenue,Richard,Richards,64,Head,Single,Male,"Engineer, chemical",None,None
2,Northbird Avenue,Paula,Brown,62,Partner,Single,Female,"Producer, radio",None,None
3,Northbird Avenue,Craig,James,89,Head,Married,Male,"Retired Therapist, drama",None,Intramystical
3,Northbird Avenue,Katie,James,91,Wife,Married,Female,Retired Physiological scientist,None,None
4,Northbird Avenue,Carly,White,44,Head,Single,Female,"Engineer, biomedical",None,None
4,Northbird Avenue,Marion,White,9,Daughter,NA,Female,Student,None,NA
5,Northbird Avenue,Amanda,Smith,72,Head,Married,Female,Retired Financial adviser,None,Utheism
5,Northbird Avenue,Jeremy,Smith,70,Husband,Married,Male,Retired Insurance claims handler,None,None
1,Fornaxjar Avenue,Jennifer,Campbell,52,Head,Married,Female,Unemployed,None,None
1,Fornaxjar Avenue,Ben,Campbell-Barnett,52,Husband,Married,Male,Air broker,None,None
1,Fornaxjar Avenue,Neil,Campbell-Barnett,7,Son,NA,Male,Student,None,NA
